-8.3934e-06	-0.24176	4.5502e-05	-2.3008e-05	0.17173	-1.8662e-05	0.26985	0.27004	0	0
-8.8659e-06	-0.23828	4.5084e-05	-2.3626e-05	0.17426	-2.0901e-05	0.26479	0.26498	0	0
-9.3505e-06	-0.23475	4.4623e-05	-2.4231e-05	0.17671	-2.3034e-05	0.25971	0.2599	0	0
-9.8469e-06	-0.23116	4.4122e-05	-2.4822e-05	0.17909	-2.5067e-05	0.25464	0.25482	0	0
-1.0355e-05	-0.22754	4.3582e-05	-2.5399e-05	0.18139	-2.7002e-05	0.24955	0.24974	0	0
-1.0874e-05	-0.22386	4.3005e-05	-2.5961e-05	0.18361	-2.8843e-05	0.24447	0.24465	0	0
-1.1404e-05	-0.22015	4.2393e-05	-2.6507e-05	0.18576	-3.0595e-05	0.23938	0.23957	0	0
-1.1945e-05	-0.21639	4.1748e-05	-2.7038e-05	0.18784	-3.226e-05	0.23429	0.23448	0	0
-1.2496e-05	-0.21259	4.1071e-05	-2.7553e-05	0.18984	-3.3843e-05	0.22921	0.22939	0	0
-1.3057e-05	-0.20876	4.0364e-05	-2.8051e-05	0.19176	-3.5347e-05	0.22413	0.22431	0	0
-1.3628e-05	-0.20489	3.9628e-05	-2.8533e-05	0.19361	-3.6774e-05	0.21905	0.21923	0	0
-1.4208e-05	-0.20098	3.8866e-05	-2.8997e-05	0.19539	-3.8129e-05	0.21397	0.21415	0	0
-1.4797e-05	-0.19704	3.8078e-05	-2.9444e-05	0.19709	-3.9413e-05	0.20891	0.20909	0	0
-1.5394e-05	-0.19306	3.7265e-05	-2.9873e-05	0.19871	-4.0631e-05	0.20385	0.20403	0	0
-1.6e-05	-0.18906	3.6429e-05	-3.0284e-05	0.20026	-4.1784e-05	0.1988	0.19898	0	0
-1.6613e-05	-0.18502	3.5572e-05	-3.0678e-05	0.20174	-4.2875e-05	0.19376	0.19394	0	0
-1.7234e-05	-0.18096	3.4694e-05	-3.1053e-05	0.20314	-4.3908e-05	0.18874	0.18892	0	0
-1.7863e-05	-0.17687	3.3796e-05	-3.1409e-05	0.20447	-4.4883e-05	0.18373	0.18391	0	0
-1.8497e-05	-0.17276	3.288e-05	-3.1747e-05	0.20573	-4.5803e-05	0.17873	0.17891	0	0
-1.9139e-05	-0.16862	3.1947e-05	-3.2067e-05	0.20691	-4.6671e-05	0.17375	0.17393	0	0
-1.9786e-05	-0.16446	3.0997e-05	-3.2368e-05	0.20802	-4.7488e-05	0.16879	0.16897	0	0
-2.0439e-05	-0.16028	3.0032e-05	-3.265e-05	0.20906	-4.8256e-05	0.16385	0.16402	0	0
-2.1097e-05	-0.15608	2.9052e-05	-3.2913e-05	0.21002	-4.8978e-05	0.15892	0.1591	0	0
-2.1761e-05	-0.15186	2.8059e-05	-3.3158e-05	0.21092	-4.9654e-05	0.15402	0.1542	0	0
-2.2428e-05	-0.14762	2.7053e-05	-3.3383e-05	0.21174	-5.0286e-05	0.14914	0.14931	0	0
-2.31e-05	-0.14337	2.6036e-05	-3.359e-05	0.21249	-5.0877e-05	0.14428	0.14446	0	0
-2.3776e-05	-0.13911	2.5007e-05	-3.3778e-05	0.21317	-5.1426e-05	0.13945	0.13962	0	0
-2.4455e-05	-0.13483	2.3968e-05	-3.3948e-05	0.21378	-5.1936e-05	0.13464	0.13482	0	0
-2.5137e-05	-0.13055	2.292e-05	-3.4099e-05	0.21432	-5.2409e-05	0.12986	0.13004	0	0
-2.5821e-05	-0.12625	2.1863e-05	-3.4231e-05	0.21479	-5.2844e-05	0.12511	0.12528	0	0
-2.6508e-05	-0.12195	2.0799e-05	-3.4345e-05	0.21519	-5.3244e-05	0.12039	0.12056	0	0
-2.7197e-05	-0.11764	1.9726e-05	-3.444e-05	0.21553	-5.361e-05	0.11569	0.11586	0	0
-2.7887e-05	-0.11332	1.8648e-05	-3.4517e-05	0.21579	-5.3942e-05	0.11103	0.1112	0	0
-2.8579e-05	-0.109	1.7563e-05	-3.4576e-05	0.21599	-5.4241e-05	0.1064	0.10657	0	0
-2.9271e-05	-0.10468	1.6473e-05	-3.4616e-05	0.21612	-5.4509e-05	0.1018	0.10197	0	0
-2.9964e-05	-0.10036	1.5378e-05	-3.4639e-05	0.21619	-5.4746e-05	0.097236	0.097406	0	0
-3.0657e-05	-0.096032	1.4279e-05	-3.4644e-05	0.21619	-5.4954e-05	0.092706	0.092875	0	0
-3.1349e-05	-0.09171	1.3176e-05	-3.4631e-05	0.21613	-5.5133e-05	0.088212	0.08838	0	0
-3.2041e-05	-0.08739	1.207e-05	-3.4601e-05	0.216	-5.5283e-05	0.083755	0.083922	0	0
-3.2732e-05	-0.083074	1.0962e-05	-3.4553e-05	0.21581	-5.5407e-05	0.079335	0.079501	0	0
-3.3422e-05	-0.078763	9.852e-06	-3.4488e-05	0.21555	-5.5503e-05	0.074953	0.075118	0	0
-3.411e-05	-0.074458	8.7405e-06	-3.4406e-05	0.21524	-5.5574e-05	0.070609	0.070773	0	0
-3.4796e-05	-0.070161	7.6281e-06	-3.4308e-05	0.21486	-5.562e-05	0.066306	0.066469	0	0
-3.548e-05	-0.065872	6.5153e-06	-3.4192e-05	0.21442	-5.564e-05	0.062043	0.062204	0	0
-3.6161e-05	-0.061594	5.4026e-06	-3.4061e-05	0.21392	-5.5637e-05	0.057821	0.057981	0	0
-3.684e-05	-0.057326	4.2904e-06	-3.3913e-05	0.21337	-5.5611e-05	0.053641	0.0538	0	0
-3.7515e-05	-0.053071	3.1791e-06	-3.3748e-05	0.21275	-5.5562e-05	0.049503	0.049661	0	0
-3.8186e-05	-0.04883	2.0693e-06	-3.3568e-05	0.21208	-5.549e-05	0.045408	0.045565	0	0
-3.8854e-05	-0.044603	9.6139e-07	-3.3373e-05	0.21135	-5.5397e-05	0.041358	0.041513	0	0
-3.9517e-05	-0.040392	-1.4425e-07	-3.3162e-05	0.21056	-5.5282e-05	0.037351	0.037505	0	0
-4.0175e-05	-0.036197	-1.2472e-06	-3.2935e-05	0.20972	-5.5147e-05	0.03339	0.033542	0	0
-4.0829e-05	-0.032021	-2.347e-06	-3.2694e-05	0.20882	-5.4992e-05	0.029474	0.029624	0	0
-4.1478e-05	-0.027863	-3.4434e-06	-3.2438e-05	0.20787	-5.4817e-05	0.025605	0.025753	0	0
-4.2121e-05	-0.023726	-4.5358e-06	-3.2167e-05	0.20687	-5.4623e-05	0.021782	0.021928	0	0
-4.2759e-05	-0.019609	-5.624e-06	-3.1882e-05	0.20582	-5.441e-05	0.018006	0.018151	0	0
-4.3391e-05	-0.015515	-6.7076e-06	-3.1583e-05	0.20471	-5.4178e-05	0.014277	0.01442	0	0
