2.4968,-0.49683,0,0.40312,-0.40312,0,0.31978,-0.31978,0,0.24684,-0.24684,0,0.18424,-0.18424,0
-0.49683,2.4968,0,-0.40312,0.40312,0,-0.31978,0.31978,0,-0.24684,0.24684,0,-0.18424,0.18424,0
0,0,3.0212,0,0,0.90009,0,0,0.78006,0,0,0.66273,0,0,0.54977
0.40312,-0.40312,0,2.3281,-0.32806,0,0.26108,-0.26108,0,0.2022,-0.2022,0,0.15145,-0.15145,0
-0.40312,0.40312,0,-0.32806,2.3281,0,-0.26108,0.26108,0,-0.2022,0.2022,0,-0.15145,0.15145,0
0,0,0.90009,0,0,2.7977,0,0,0.69483,0,0,0.59307,0,0,0.4941
0.31978,-0.31978,0,0.26108,-0.26108,0,2.2085,-0.2085,0,0.16209,-0.16209,0,0.12189,-0.12189,0
-0.31978,0.31978,0,-0.26108,0.26108,0,-0.2085,2.2085,0,-0.16209,0.16209,0,-0.12189,0.12189,0
0,0,0.78006,0,0,0.69483,0,0,2.6092,0,0,0.52304,0,0,0.43812
0.24684,-0.24684,0,0.2022,-0.2022,0,0.16209,-0.16209,0,2.1266,-0.12655,0,0.095606,-0.095606,0
-0.24684,0.24684,0,-0.2022,0.2022,0,-0.16209,0.16209,0,-0.12655,2.1266,0,-0.095606,0.095606,0
0,0,0.66273,0,0,0.59307,0,0,0.52304,0,0,2.4526,0,0,0.38184
0.18424,-0.18424,0,0.15145,-0.15145,0,0.12189,-0.12189,0,0.095606,-0.095606,0,2.0726,-0.072604,0
-0.18424,0.18424,0,-0.15145,0.15145,0,-0.12189,0.12189,0,-0.095606,0.095606,0,-0.072604,2.0726,0
0,0,0.54977,0,0,0.4941,0,0,0.43812,0,0,0.38184,0,0,2.3252
