-0.10532,-2.9972,0.063373,0.13572,2.0454,1.2266,0.068154,1.7111,1.6995,2.4125,0.0016832
-0.18812,-2.7327,0.079183,0.15601,2.0611,1.211,0.07386,1.7109,1.7,2.4625,0.0016833
-0.30847,-2.403,0.10632,0.19222,2.3375,1.4176,0.085981,1.7107,1.7005,2.5125,0.0016834
-0.33335,-2.0496,0.10418,0.18521,2.4709,1.4976,0.079156,1.7104,1.7009,2.5625,0.0016836
-0.48503,-1.6414,0.044476,0.094895,2.4607,1.4536,0.037743,1.7102,1.7012,2.6125,0.0016839
-0.27298,-1.2998,0.14403,0.23709,2.7671,1.68,0.095436,1.7099,1.7015,2.6625,0.0016842
-0.10521,-1.1151,0.15909,0.25389,2.6978,1.5814,0.097516,1.7097,1.7018,2.7124,0.0016846
-0.25714,-0.91401,0.15168,0.23767,2.7147,1.5584,0.085853,1.7094,1.702,2.7623,0.001685
-0.1825,-0.71416,0.19643,0.29726,2.7315,1.5359,0.10616,1.7092,1.7023,2.8121,0.0016855
0.031724,-0.64544,0.21342,0.31532,2.8158,1.5713,0.10761,1.709,1.7024,2.862,0.0016861
-0.10649,-0.57119,0.23048,0.33296,2.8818,1.5904,0.10902,1.7087,1.7026,2.9118,0.0016867
-0.14362,-0.44877,0.23469,0.33151,2.9278,1.592,0.10203,1.7085,1.7028,2.9615,0.0016873
-0.044241,-0.36825,0.24872,0.34418,3.0383,1.6484,0.1009,1.7083,1.7029,3.0113,0.0016881
-0.013744,-0.33205,0.25684,0.34791,3.0369,1.6083,0.095878,1.7081,1.703,3.061,0.0016889
0.10183,-0.36203,0.23076,0.30189,3.1366,1.6551,0.069818,1.7079,1.7032,3.1106,0.0016897
-0.033015,-0.35397,0.24925,0.32125,3.1231,1.6046,0.072572,1.7077,1.7033,3.1602,0.0016906
0.014875,-0.33682,0.23066,0.2864,3.1213,1.5651,0.05201,1.7075,1.7034,3.2098,0.0016916
0.0531,-0.34764,0.24839,0.30476,3.2178,1.6103,0.054582,1.7073,1.7035,3.2594,0.0016926
0.085788,-0.38214,0.27691,0.33827,3.262,1.6099,0.063191,1.7072,1.7035,3.3089,0.0016937
0.19875,-0.47447,0.32351,0.39717,3.1699,1.4935,0.081697,1.707,1.7036,3.3583,0.0016946
0.045348,-0.52183,0.34931,0.42458,3.1919,1.4769,0.086192,1.7069,1.7037,3.4077,0.0016956
0.086545,-0.54576,0.38353,0.46347,3.1757,1.4282,0.09481,1.7068,1.7038,3.4571,0.0016966
-0.030572,-0.5284,0.37279,0.43628,3.2437,1.4524,0.075178,1.7067,1.7038,3.5064,0.0016976
0.029451,-0.50853,0.37446,0.42747,3.1662,1.3522,0.063714,1.7065,1.7039,3.5557,0.0016988
0.0021868,-0.49426,0.35377,0.38631,3.0283,1.2029,0.039038,1.7064,1.704,3.6049,0.0016999
-0.13281,-0.40836,0.36354,0.38997,3.0309,1.1767,0.034308,1.7063,1.704,3.654,0.0017012
-0.079908,-0.32262,0.29779,0.28405,3.1651,1.2631,-0.016679,1.7063,1.7041,3.7031,0.0017025
0.028975,-0.29811,0.31987,0.30743,3.2216,1.2813,-0.011196,1.7062,1.7041,3.7522,0.0017038
-0.075301,-0.25541,0.33054,0.31371,3.312,1.328,-0.013059,1.7061,1.7042,3.8012,0.0017052
-0.051161,-0.19811,0.35393,0.33821,3.5621,1.5095,-0.0074864,1.706,1.7042,3.8502,0.0017067
-0.12713,-0.11882,0.32552,0.28705,3.6261,1.5283,-0.034001,1.706,1.7043,3.899,0.0017082
-0.027575,-0.065599,0.35212,0.31656,3.7309,1.5814,-0.025741,1.7059,1.7043,3.9479,0.0017097
-0.06077,-0.02622,0.36771,0.32941,3.8283,1.627,-0.024883,1.7058,1.7043,3.9966,0.0017113
-0.059473,0.018113,0.37057,0.32347,3.8847,1.6365,-0.032167,1.7058,1.7044,4.0453,0.001713
0.14447,-0.036949,0.34815,0.28094,4.0344,1.7253,-0.054947,1.7057,1.7044,4.094,0.0017147
0.23881,-0.18633,0.31789,0.22785,4.1163,1.7542,-0.081172,1.7057,1.7045,4.1426,0.0017165
0.28125,-0.367,0.35278,0.27016,4.018,1.6292,-0.066155,1.7056,1.7045,4.1911,0.0017183
0.13652,-0.48607,0.34272,0.24642,3.8488,1.4466,-0.079459,1.7056,1.7045,4.2395,0.0017201
-0.054252,-0.47787,0.27446,0.13878,3.9862,1.5294,-0.12734,1.7055,1.7045,4.2879,0.0017223
-0.11194,-0.38212,0.3508,0.24282,4.1196,1.6069,-0.084154,1.7055,1.7046,4.3362,0.0017248
-0.0092628,-0.33194,0.33102,0.20544,4.1402,1.5864,-0.10273,1.7055,1.7046,4.3844,0.0017273
