1,-1.9326e-05,0,1.5673e-05,-1.5673e-05,0,1.2427e-05,-1.2427e-05,0,9.5875e-06,-9.5875e-06,0,7.1528e-06,-7.1528e-06,0
-1.9326e-05,1,0,-1.5673e-05,1.5673e-05,0,-1.2427e-05,1.2427e-05,0,-9.5875e-06,9.5875e-06,0,-7.1528e-06,7.1528e-06,0
0,0,3.0212,0,0,0.90009,0,0,0.78006,0,0,0.66273,0,0,0.54977
1.5673e-05,-1.5673e-05,0,1,-1.2748e-05,0,1.014e-05,-1.014e-05,0,7.8491e-06,-7.8491e-06,0,5.8763e-06,-5.8763e-06,0
-1.5673e-05,1.5673e-05,0,-1.2748e-05,1,0,-1.014e-05,1.014e-05,0,-7.8491e-06,7.8491e-06,0,-5.8763e-06,5.8763e-06,0
0,0,0.90009,0,0,2.7977,0,0,0.69483,0,0,0.59307,0,0,0.4941
1.2427e-05,-1.2427e-05,0,1.014e-05,-1.014e-05,0,1,-8.0932e-06,0,6.2888e-06,-6.2888e-06,0,4.727e-06,-4.727e-06,0
-1.2427e-05,1.2427e-05,0,-1.014e-05,1.014e-05,0,-8.0932e-06,1,0,-6.2888e-06,6.2888e-06,0,-4.727e-06,4.727e-06,0
0,0,0.78006,0,0,0.69483,0,0,2.6092,0,0,0.52304,0,0,0.43812
9.5875e-06,-9.5875e-06,0,7.8491e-06,-7.8491e-06,0,6.2888e-06,-6.2888e-06,0,1,-4.9073e-06,0,3.7055e-06,-3.7055e-06,0
-9.5875e-06,9.5875e-06,0,-7.8491e-06,7.8491e-06,0,-6.2888e-06,6.2888e-06,0,-4.9073e-06,1,0,-3.7055e-06,3.7055e-06,0
0,0,0.66273,0,0,0.59307,0,0,0.52304,0,0,2.4526,0,0,0.38184
7.1528e-06,-7.1528e-06,0,5.8763e-06,-5.8763e-06,0,4.727e-06,-4.727e-06,0,3.7055e-06,-3.7055e-06,0,1,-2.8126e-06,0
-7.1528e-06,7.1528e-06,0,-5.8763e-06,5.8763e-06,0,-4.727e-06,4.727e-06,0,-3.7055e-06,3.7055e-06,0,-2.8126e-06,1,0
0,0,0.54977,0,0,0.4941,0,0,0.43812,0,0,0.38184,0,0,2.3252
