2.7762e-06,-2.7762e-06,-7.7548e-25,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0040602,0,0,0,0,0,0,0,0,0,0,0,0
2.4966e-05,-2.4966e-05,-3.6499e-24,2.7762e-06,-2.7762e-06,-7.7548e-25,0,0,0,0,0,0,0,0,0
0,0,0.020265,0,0,0.0040602,0,0,0,0,0,0,0,0,0
9.9786e-05,-9.9786e-05,-9.9462e-24,2.4966e-05,-2.4966e-05,-3.6499e-24,2.7762e-06,-2.7762e-06,-7.7548e-25,0,0,0,0,0,0
0,0,0.056644,0,0,0.020265,0,0,0.0040602,0,0,0,0,0,0
0.00027696,-0.00027696,-2.0987e-23,9.9786e-05,-9.9786e-05,-9.9462e-24,2.4966e-05,-2.4966e-05,-3.6499e-24,2.7762e-06,-2.7762e-06,-7.7548e-25,0,0,0
0,0,0.12118,0,0,0.056644,0,0,0.020265,0,0,0.0040602,0,0,0
0.00062267,-0.00062267,-3.8092e-23,0.00027696,-0.00027696,-2.0987e-23,9.9786e-05,-9.9786e-05,-9.9462e-24,2.4966e-05,-2.4966e-05,-3.6499e-24,2.7762e-06,-2.7762e-06,-7.7548e-25
0,0,0.22178,0,0,0.12118,0,0,0.056644,0,0,0.020265,0,0,0.0040602
0.0012167,-0.0012167,-6.1806e-23,0.0006199,-0.0006199,-3.7316e-23,0.00027419,-0.00027419,-2.0211e-23,9.701e-05,-9.701e-05,-9.1707e-24,2.219e-05,-2.219e-05,-2.8744e-24
0,0,0.36228,0,0,0.21772,0,0,0.11712,0,0,0.052584,0,0,0.016205
0.0021411,-0.0021411,-9.2123e-23,0.0011945,-0.0011945,-5.8932e-23,0.00059771,-0.00059771,-3.4442e-23,0.000252,-0.000252,-1.7337e-23,7.482e-05,-7.482e-05,-6.2963e-24
0,0,0.54239,0,0,0.34607,0,0,0.20152,0,0,0.10091,0,0,0.03638
0.0034778,-0.0034778,-1.2903e-22,0.0020663,-0.0020663,-8.5827e-23,0.0011197,-0.0011197,-5.2636e-23,0.00052289,-0.00052289,-2.8146e-23,0.00017718,-0.00017718,-1.104e-23
0,0,0.76187,0,0,0.50601,0,0,0.30969,0,0,0.16514,0,0,0.064532
0.0053081,-0.0053081,-1.7253e-22,0.0033006,-0.0033006,-1.1799e-22,0.0018891,-0.0018891,-7.4787e-23,0.00094247,-0.00094247,-4.1595e-23,0.00034571,-0.00034571,-1.7105e-23
0,0,1.0204,0,0,0.69734,0,0,0.44148,0,0,0.24516,0,0,0.10061
0.007713,-0.007713,-2.226e-22,0.0049624,-0.0049624,-1.5543e-22,0.0029549,-0.0029549,-1.0089e-22,0.0015434,-0.0015434,-5.7681e-23,0.00059677,-0.00059677,-2.449e-23
0,0,1.3178,0,0,0.91983,0,0,0.59673,0,0,0.34088,0,0,0.14455
0.010773,-0.010773,-2.7922e-22,0.0071162,-0.0071162,-1.9811e-22,0.0043656,-0.0043656,-1.3094e-22,0.0023581,-0.0023581,-7.6399e-23,0.00094664,-0.00094664,-3.3191e-23
0,0,1.6538,0,0,1.1733,0,0,0.77528,0,0,0.45217,0,0,0.19632
0.014568,-0.014568,-3.4239e-22,0.0098263,-0.0098263,-2.4603e-22,0.0061696,-0.0061696,-1.6492e-22,0.003419,-0.003419,-9.7744e-23,0.0014115,-0.0014115,-4.3208e-23
0,0,2.0281,0,0,1.4575,0,0,0.97697,0,0,0.57896,0,0,0.25585
