0,0,0,0,0,0,0,1.7,1.7,0,0
3.63,0,0,0,0,0,0,1.7502,1.8188,20,2.2732e-08
3.6036,-2.6121,-7.0405e-07,-0.00010552,0,0,-0.010533,1.7145,1.7018,20,3.7499e-10
3.5248,-5.0511,-5.7972e-06,-0.00042074,0.00034819,0.00029632,-0.020859,1.8096,1.7446,20,3.7624e-10
3.3962,-7.2887,-1.9051e-05,-0.00093967,0.0013674,0.0011567,-0.030819,1.7635,1.6661,20,3.741e-10
3.2252,-9.3026,-4.3054e-05,-0.0016508,0.0032966,0.0027711,-0.040298,1.8293,1.7129,20,3.7509e-10
3.0209,-11.077,-7.9509e-05,-0.0025395,0.0063604,0.005313,-0.049216,1.7834,1.657,20,3.7328e-10
2.7929,-12.605,-0.00012942,-0.0035888,0.010721,0.0088981,-0.057523,1.8314,1.701,20,3.7402e-10
2.5504,-13.885,-0.00019319,-0.004781,0.016532,0.013633,-0.065192,1.7898,1.6594,20,3.6926e-10
2.3014,-14.924,-0.00027069,-0.0060983,0.023902,0.019583,-0.072214,1.8261,1.6982,20,3.73e-10
2.0528,-15.731,-0.00036129,-0.0075226,0.032936,0.026809,-0.078593,1.79,1.6663,20,3.7917e-10
1.8101,-16.321,-0.00046391,-0.0090364,0.043702,0.035338,-0.084346,1.8182,1.6995,20,3.7201e-10
1.5775,-16.711,-0.00057697,-0.010623,0.05627,0.045199,-0.089496,1.7876,1.6745,20,3.8009e-10
1.3584,-16.919,-0.00069844,-0.012265,0.070683,0.056397,-0.09407,1.8098,1.7025,20,3.7105e-10
1.1547,-16.966,-0.00082586,-0.013947,0.086984,0.068937,-0.098101,1.7842,1.6827,20,3.8826e-10
0.96791,-16.871,-0.00095632,-0.015653,0.1052,0.082809,-0.10162,1.8017,1.706,20,3.7012e-10
0.79861,-16.654,-0.0010865,-0.01737,0.12535,0.098001,-0.10467,1.7804,1.6903,20,3.6989e-10
0.64687,-16.334,-0.0012126,-0.019083,0.14745,0.11449,-0.10728,1.7944,1.7096,20,3.6927e-10
0.51232,-15.927,-0.0013305,-0.020778,0.17151,0.13226,-0.10948,1.7767,1.697,20,3.6642e-10
0.39428,-15.452,-0.0014358,-0.022442,0.19753,0.15129,-0.1113,1.7879,1.713,20,3.685e-10
0.29181,-14.921,-0.0015234,-0.024063,0.22552,0.17153,-0.11278,1.7732,1.7029,20,3.65e-10
0.20381,-14.35,-0.0015882,-0.025628,0.25547,0.19297,-0.11394,1.7822,1.7162,20,3.6788e-10
0.12911,-13.75,-0.0016247,-0.027126,0.28737,0.21556,-0.1148,1.77,1.7081,20,3.6421e-10
0.066472,-13.131,-0.001627,-0.028544,0.32123,0.23928,-0.1154,1.7771,1.719,20,3.6742e-10
0.01466,-12.502,-0.001589,-0.029872,0.35702,0.26409,-0.11576,1.767,1.7125,20,3.6493e-10
-0.02753,-11.872,-0.0015043,-0.031099,0.39474,0.28995,-0.11588,1.7727,1.7216,20,3.672e-10
-0.061255,-11.246,-0.0013663,-0.032214,0.43438,0.31684,-0.1158,1.7643,1.7164,20,3.6649e-10
-0.087606,-10.631,-0.0011682,-0.033206,0.47592,0.34471,-0.11553,1.7688,1.7239,20,3.6725e-10
-0.1076,-10.03,-0.00090286,-0.034066,0.51935,0.37353,-0.11507,1.7619,1.7197,20,3.6726e-10
-0.12215,-9.4464,-0.00056317,-0.034784,0.56465,0.40326,-0.11445,1.7654,1.7259,20,3.6762e-10
-0.13212,-8.8837,-0.00014173,-0.03535,0.61182,0.43387,-0.11367,1.7596,1.7226,20,3.6785e-10
-0.13825,-8.3435,0.000369,-0.035754,0.66082,0.46532,-0.11275,1.7624,1.7277,20,3.6839e-10
-0.14123,-7.8272,0.00097667,-0.035987,0.71164,0.49758,-0.11169,1.7576,1.725,20,3.6885e-10
-0.14163,-7.3354,0.001689,-0.036042,0.76427,0.53062,-0.1105,1.7598,1.7293,20,3.6961e-10
-0.13998,-6.8687,0.002514,-0.035908,0.8187,0.56441,-0.10919,1.7558,1.7271,20,3.7033e-10
-0.13673,-6.4271,0.0034594,-0.035577,0.87489,0.5989,-0.10777,1.7575,1.7306,20,3.7134e-10
-0.13225,-6.0102,0.0045334,-0.035042,0.93284,0.63407,-0.10624,1.7541,1.7289,20,3.7236e-10
-0.12688,-5.6177,0.0057441,-0.034293,0.99252,0.66989,-0.1046,1.7554,1.7318,20,3.7364e-10
-0.12087,-5.2488,0.0070994,-0.033324,1.0539,0.70632,-0.10286,1.7526,1.7305,20,3.7499e-10
-0.11446,-4.9027,0.0086077,-0.032128,1.117,0.74334,-0.10103,1.7536,1.7329,20,3.766e-10
-0.10784,-4.5784,0.010277,-0.030696,1.1818,0.78092,-0.099112,1.7512,1.7318,20,3.783e-10
-0.10114,-4.275,0.012116,-0.029022,1.2483,0.81902,-0.097107,1.752,1.7337,20,3.8027e-10
-0.094496,-3.9914,0.014132,-0.027099,1.3164,0.85763,-0.095021,1.75,1.7329,20,3.8238e-10
-0.08799,-3.7266,0.016334,-0.024922,1.3861,0.89671,-0.092857,1.7505,1.7345,20,3.8475e-10
-0.081694,-3.4794,0.018729,-0.022483,1.4574,0.93624,-0.090621,1.7488,1.7338,20,3.873e-10
-0.075658,-3.2489,0.021327,-0.019778,1.5303,0.97618,-0.088314,1.7492,1.7351,20,3.9012e-10
-0.069918,-3.0341,0.024134,-0.0168,1.6048,1.0165,-0.085943,1.7477,1.7345,20,3.9315e-10
-0.064494,-2.8338,0.02716,-0.013546,1.6809,1.0572,-0.08351,1.748,1.7356,20,3.9648e-10
-0.059399,-2.6471,0.030411,-0.010009,1.7585,1.0983,-0.08102,1.7468,1.7351,20,4.0003e-10
-0.054635,-2.4732,0.033897,-0.0061851,1.8376,1.1397,-0.078477,1.7469,1.736,20,4.0391e-10
-0.0502,-2.3111,0.037625,-0.0020707,1.9182,1.1813,-0.075884,1.7459,1.7356,20,4.0806e-10
-0.046086,-2.1601,0.041602,0.0023385,2.0003,1.2233,-0.073247,1.7459,1.7364,20,4.1255e-10
-0.042279,-2.0193,0.045837,0.0070459,2.0838,1.2655,-0.07057,1.745,1.736,20,4.1735e-10
-0.038766,-1.888,0.050336,0.012055,2.1688,1.308,-0.067856,1.745,1.7366,20,4.2252e-10
-0.035531,-1.7656,0.055108,0.017368,2.2552,1.3506,-0.065112,1.7442,1.7363,20,4.2738e-10
-0.032556,-1.6514,0.06016,0.022988,2.3431,1.3935,-0.06234,1.7442,1.7368,20,4.3395e-10
-0.029823,-1.5449,0.065499,0.028917,2.4323,1.4365,-0.059546,1.7435,1.7366,20,4.3881e-10
