-0.0015445,-9.5266e-06,1,0.019918,0,0,0.00050701,-0.00050701,0
-0.154,-0.0013884,0,0.99181,0,0,0.050632,-0.050632,0
-4.5394e-05,-5.7046e-05,0,0,1,0.019933,0,0,0.023263
-0.0045344,-0.0056983,0,0,0,0.99335,0,0,2.3237
-0.0061335,-6.9938e-05,1,0.039673,0,0,0.0020225,-0.0020225,0
-0.30405,-0.0049473,0,0.98369,0,0,0.10085,-0.10085,0
-0.00012846,-0.00021097,0,0,1,0.039734,0,0,0.092846
-0.003773,-0.0096895,0,0,0,0.98674,0,0,4.632
-0.013667,-0.00021696,1,0.059266,0,0,0.0045382,-0.0045382,0
-0.44819,-0.0099448,0,0.97563,0,0,0.15065,-0.15065,0
-0.00015944,-0.00043197,0,0,1,0.059403,0,0,0.20844
0.00066997,-0.012407,0,0,0,0.98017,0,0,6.9249
-0.024013,-0.00047368,1,0.078698,0,0,0.0080459,-0.0080459,0
-0.58517,-0.01584,0,0.96764,0,0,0.20005,-0.20005,0
-7.6734e-05,-0.00069786,0,0,1,0.078941,0,0,0.36974
0.007593,-0.01418,0,0,0,0.97365,0,0,9.2025
-0.037021,-0.00085388,1,0.097972,0,0,0.012538,-0.012538,0
-0.71425,-0.022237,0,0.95971,0,0,0.24904,-0.24904,0
0.00016035,-0.00099221,0,0,1,0.098349,0,0,0.57644
0.016106,-0.015255,0,0,0,0.96717,0,0,11.465
-0.052528,-0.0013646,1,0.11709,0,0,0.018005,-0.018005,0
-0.83506,-0.028849,0,0.95185,0,0,0.29764,-0.29764,0
0.00057708,-0.001303,0,0,1,0.11763,0,0,0.82824
0.025556,-0.015819,0,0,0,0.96074,0,0,13.712
-0.070367,-0.0020079,1,0.13605,0,0,0.02444,-0.02444,0
-0.94747,-0.035469,0,0.94406,0,0,0.34583,-0.34583,0
0.0011874,-0.0016213,0,0,1,0.13678,0,0,1.1248
0.035464,-0.016014,0,0,0,0.95434,0,0,15.945
-0.090371,-0.0027824,1,0.15485,0,0,0.031836,-0.031836,0
-1.0516,-0.041953,0,0.93633,0,0,0.39363,-0.39363,0
0.001997,-0.0019409,0,0,1,0.1558,0,0,1.4659
0.045489,-0.015945,0,0,0,0.94799,0,0,18.163
-0.11238,-0.0036844,1,0.1735,0,0,0.040183,-0.040183,0
-1.1476,-0.048202,0,0.92866,0,0,0.44104,-0.44104,0
0.0030059,-0.0022573,0,0,1,0.1747,0,0,1.8512
0.055386,-0.015692,0,0,0,0.94169,0,0,20.365
-0.13622,-0.0047085,1,0.192,0,0,0.049474,-0.049474,0
-1.2358,-0.054151,0,0.92105,0,0,0.48806,-0.48806,0
0.0042097,-0.0025673,0,0,1,0.19347,0,0,2.2805
0.064988,-0.015312,0,0,0,0.93542,0,0,22.554
-0.16176,-0.0058482,1,0.21034,0,0,0.059703,-0.059703,0
-1.3165,-0.05976,0,0.91351,0,0,0.53469,-0.53469,0
0.0056015,-0.0028689,0,0,1,0.21212,0,0,2.7533
0.074181,-0.014851,0,0,0,0.9292,0,0,24.727
-0.18884,-0.0070965,1,0.22854,0,0,0.07086,-0.07086,0
-1.3903,-0.065008,0,0.90603,0,0,0.58094,-0.58094,0
0.0071724,-0.0031608,0,0,1,0.23064,0,0,3.2694
0.082895,-0.01434,0,0,0,0.92301,0,0,26.886
