25.404,-25.204,0,22.223,-22.223,0,19.265,-19.265,0,16.372,-16.372,0,13.585,-13.585,0
-25.204,25.404,0,-22.223,22.223,0,-19.265,19.265,0,-16.372,16.372,0,-13.585,13.585,0
0,0,3354.3,0,0,2954.8,0,0,2560.8,0,0,2175.6,0,0,1804.8
22.223,-22.223,0,19.904,-19.704,0,17.168,-17.168,0,14.659,-14.659,0,12.216,-12.216,0
-22.223,22.223,0,-19.704,19.904,0,-17.168,17.168,0,-14.659,14.659,0,-12.216,12.216,0
0,0,2954.8,0,0,2620.8,0,0,2281,0,0,1946.9,0,0,1622
19.265,-19.265,0,17.168,-17.168,0,15.258,-15.058,0,12.934,-12.934,0,10.838,-10.838,0
-19.265,19.265,0,-17.168,17.168,0,-15.058,15.258,0,-12.934,12.934,0,-10.838,10.838,0
0,0,2560.8,0,0,2281,0,0,2001.7,0,0,1717,0,0,1438.3
16.372,-16.372,0,14.659,-14.659,0,12.934,-12.934,0,11.398,-11.198,0,9.4502,-9.4502,0
-16.372,16.372,0,-14.659,14.659,0,-12.934,12.934,0,-11.198,11.398,0,-9.4502,9.4502,0
0,0,2175.6,0,0,1946.9,0,0,1717,0,0,1487.9,0,0,1253.5
13.585,-13.585,0,12.216,-12.216,0,10.838,-10.838,0,9.4502,-9.4502,0,8.2533,-8.0533,0
-13.585,13.585,0,-12.216,12.216,0,-10.838,10.838,0,-9.4502,9.4502,0,-8.0533,8.2533,0
0,0,1804.8,0,0,1622,0,0,1438.3,0,0,1253.5,0,0,1069.7
