0	0	0	0	0	0	1.7537	1.7537	1.3146e-05	1.3146e-05	0	0	0	0	0	0	0	0	0	0.0036835	0.0036835	1.3146e-05	1.3146e-05	0	0	0	0
-3.4701e-12	-1.0969e-06	9.3732e-10	-1.735e-10	-5.4843e-05	4.6866e-08	1.7574	1.7574	2.3658e-05	2.3656e-05	3.9353e-13	7.4822e-07	2.7462e-11	7.5643e-12	7.8827e-05	8.7665e-11	-3.6721e-12	-1.7449e-06	8.6048e-10	0.0073661	0.0073661	2.3657e-05	2.3657e-05	8.1284e-05	8.1304e-05	7.8752e-10	-7.8752e-10
-1.3602e-11	-2.965e-06	3.7175e-09	-5.0661e-10	-9.3409e-05	1.3901e-07	1.7612	1.7612	3.2618e-05	3.2614e-05	1.7023e-12	3.6812e-06	1.1137e-10	2.7302e-11	0.00022618	2.8248e-10	-1.4728e-11	-6.38e-06	3.4571e-09	0.011048	0.011048	3.2616e-05	3.2617e-05	0.00014064	0.0001407	2.5242e-09	-2.5242e-09
-3.2613e-11	-5.161e-06	8.9922e-09	-9.5054e-10	-0.0001098	2.6374e-07	1.7649	1.7649	4.0502e-05	4.0493e-05	4.418e-12	1.0052e-05	2.7316e-10	6.0296e-11	0.00043304	5.296e-10	-3.5926e-11	-1.4733e-05	8.4335e-09	0.014728	0.014728	4.0496e-05	4.0498e-05	0.00016867	0.00016878	5.1835e-09	-5.1835e-09
-6.1915e-11	-7.1454e-06	1.7159e-08	-1.4651e-09	-9.9224e-05	4.0836e-07	1.7686	1.7686	4.7572e-05	4.7558e-05	8.9299e-12	2.0953e-05	5.2521e-10	1.0464e-10	0.00069151	7.32e-10	-6.9114e-11	-2.7373e-05	1.6189e-08	0.018407	0.018407	4.7564e-05	4.7567e-05	0.00015739	0.00015757	8.6928e-09	-8.6928e-09
-1.0245e-10	-8.3027e-06	2.8411e-08	-2.0267e-09	-5.7861e-05	5.6256e-07	1.7722	1.7722	5.3999e-05	5.3978e-05	1.5486e-11	3.7336e-05	8.7164e-10	1.5628e-10	0.00099465	7.7965e-10	-1.1551e-10	-4.4646e-05	2.6923e-08	0.022085	0.022085	5.3986e-05	5.3991e-05	0.00010004	0.00010028	1.2973e-08	-1.2973e-08
-1.55e-10	-7.9564e-06	4.2782e-08	-2.6274e-09	1.7315e-05	7.1857e-07	1.7758	1.7758	5.9898e-05	5.9869e-05	2.4175e-11	6.0026e-05	1.3097e-09	2.0972e-10	0.0013364	5.6858e-10	-1.7601e-10	-6.6715e-05	4.0683e-08	0.025761	0.025761	5.988e-05	5.9887e-05	-9.0977e-06	-8.7836e-06	1.7951e-08	-1.7951e-08
-2.2044e-10	-5.3837e-06	6.0196e-08	-3.2719e-09	0.00012864	8.7072e-07	1.7793	1.7793	6.5353e-05	6.5316e-05	3.4912e-11	8.9743e-05	1.8314e-09	2.5866e-10	0.0017115	1.126e-11	-2.514e-10	-9.3583e-05	5.7405e-08	0.029436	0.029436	6.533e-05	6.5339e-05	-0.00017484	-0.00017446	2.3558e-08	-2.3558e-08
-2.9993e-10	1.7333e-07	8.0498e-08	-3.9748e-09	0.00027785	1.0151e-06	1.7827	1.7827	7.043e-05	7.0384e-05	4.7443e-11	0.00012711	2.4248e-09	2.964e-10	0.0021152	-9.5904e-10	-3.4258e-10	-0.00012512	7.6951e-08	0.033109	0.033109	7.0401e-05	7.0414e-05	-0.00040124	-0.00040079	2.9736e-08	-2.9736e-08
-3.9509e-10	9.4975e-06	1.0348e-07	-4.7579e-09	0.00046621	1.149e-06	1.7861	1.7861	7.5181e-05	7.5124e-05	6.1344e-11	0.00017266	3.0753e-09	3.1618e-10	0.0025434	-2.3876e-09	-4.5073e-10	-0.0001611	9.913e-08	0.036781	0.036781	7.5144e-05	7.5161e-05	-0.00069167	-0.00069116	3.6435e-08	-3.6435e-08
-5.0806e-10	2.3388e-05	1.289e-07	-5.6484e-09	0.00069455	1.2709e-06	1.7894	1.7894	7.9646e-05	7.9579e-05	7.6031e-11	0.00022687	3.7665e-09	3.1142e-10	0.0029927	-4.2997e-09	-5.7737e-10	-0.00020118	1.2372e-07	0.04045	0.04045	7.9602e-05	7.9623e-05	-0.001049	-0.0010484	4.3612e-08	-4.3612e-08
-6.416e-10	4.2655e-05	1.5649e-07	-6.677e-09	0.00096334	1.3799e-06	1.7926	1.7926	8.3859e-05	8.3781e-05	9.0768e-11	0.00029012	4.4812e-09	2.7586e-10	0.0034598	-6.7033e-09	-7.2452e-10	-0.00024495	1.5048e-07	0.044117	0.044117	8.3808e-05	8.3832e-05	-0.0014754	-0.0014748	5.1229e-08	-5.1229e-08
