0	-0.32638	0	0	0	0	0	0	0	0
-4.1703e-10	-0.32637	1.1017e-07	-2.0852e-08	0.00022261	5.5086e-06	0.43297	0.43297	-1.1034e-14	1.1038e-14
-1.5445e-09	-0.32635	3.9963e-07	-5.6376e-08	0.0012453	1.4473e-05	0.4367	0.43671	2.1201e-07	-2.1201e-07
-3.6171e-09	-0.32629	9.0688e-07	-1.0363e-07	0.0029389	2.5363e-05	0.43932	0.43932	5.9554e-07	-5.9554e-07
-6.8564e-09	-0.32618	1.648e-06	-1.6196e-07	0.0051936	3.7057e-05	0.44097	0.44098	1.1175e-06	-1.1175e-06
-1.1502e-08	-0.32603	2.6231e-06	-2.3228e-07	0.0079156	4.8753e-05	0.4418	0.44181	1.7508e-06	-1.7508e-06
-1.783e-08	-0.32581	3.8209e-06	-3.1642e-07	0.011025	5.9892e-05	0.44191	0.44193	2.4737e-06	-2.4737e-06
-2.6164e-08	-0.32552	5.223e-06	-4.1667e-07	0.014455	7.0104e-05	0.44141	0.44144	3.2683e-06	-3.2683e-06
-3.6873e-08	-0.32515	6.8062e-06	-5.3547e-07	0.018146	7.916e-05	0.44039	0.44042	4.12e-06	-4.12e-06
-5.0376e-08	-0.32471	8.545e-06	-6.7516e-07	0.022049	8.6938e-05	0.4389	0.43894	5.0173e-06	-5.0173e-06
-6.7132e-08	-0.32419	1.0413e-05	-8.378e-07	0.026124	9.3394e-05	0.43702	0.43706	5.9504e-06	-5.9504e-06
-8.7634e-08	-0.32358	1.2384e-05	-1.0251e-06	0.030333	9.8539e-05	0.43479	0.43484	6.9117e-06	-6.9117e-06
-1.124e-07	-0.32289	1.4432e-05	-1.2382e-06	0.034646	0.00010242	0.43226	0.43231	7.8948e-06	-7.8948e-06
-1.4196e-07	-0.32211	1.6535e-05	-1.4781e-06	0.039038	0.00010513	0.42947	0.42952	8.8945e-06	-8.8945e-06
-1.7686e-07	-0.32124	1.8669e-05	-1.7451e-06	0.043486	0.00010674	0.42645	0.42649	9.9063e-06	-9.9063e-06
