-108	-40	15936	57	-67	-35	-0.143811	0.388293
-20	-68	15992	62	-62	-16	-0.243627	0.0716549
-76	-60	16044	14	-48	11	-0.214267	0.271405
-36	-40	15820	15	-40	2	-0.144869	0.130382
-28	-164	15832	69	-65	-7	-0.593491	0.101326
-56	-52	15984	38	-60	-9	-0.186396	0.200734
-40	-16	15936	4	-14	65	-0.0575257	0.143814
-64	-100	16020	-22	19	15	-0.357644	0.228891
-164	-12	16052	-8	39	-107	-0.0428304	0.585359
-164	-64	15948	20	16	89	-0.229917	0.589171
-84	-92	16000	5	-88	201	-0.329443	0.300795
-48	64	15700	-63	-117	132	0.23356	0.17517
-40	-4	16008	-54	0	-223	-0.0143167	0.143168
140	-12	15760	-26	111	-216	-0.0436245	-0.508959
232	-36	15792	-129	-48	-263	-0.130599	-0.841669
-60	-48	15840	-30	-132	103	-0.173622	0.217027
76	-132	16024	54	-246	373	-0.471966	-0.271736
-68	-84	15824	240	-165	282	-0.304143	0.24621
-236	-132	16496	105	19	-142	-0.458421	0.81962
-168	-36	16016	-97	120	-380	-0.128779	0.600981
-212	28	16000	-128	26	-325	0.100259	0.759123
-244	-216	15764	-6	-38	276	-0.78493	0.886688
-200	164	16192	152	-171	443	0.580254	0.707633
208	76	15848	124	-231	47	0.274739	-0.751937
-356	-564	15572	89	-213	-339	-2.07374	1.30878
-212	92	16264	-69	-45	-359	0.324072	0.746792
512	460	15512	79	397	-275	1.69765	-1.88963
-184	-472	15424	5	-119	-9	-1.75267	0.683156
264	500	15840	155	-214	605	1.80773	-0.954366
56	300	17192	-303	-811	428	0.999703	-0.186602
-840	48	14812	492	633	-206	0.185375	3.24579
544	36	16388	124	-226	-58	0.125794	-1.90123
-992	-504	15896	309	-351	-14	-1.81249	3.56916
344	-1184	17004	-172	-547	41	-3.9823	-1.15617
-804	-44	16048	-405	-336	335	-0.156895	2.86809
464	-204	15656	46	-172	192	-0.746203	-1.69745
-236	-344	17004	841	748	40	-1.15885	0.794999
-584	-92	15756	669	669	-248	-0.334319	2.12267
-604	-52	15876	417	559	-126	-0.187529	2.17875
352	-348	15656	436	639	-22	-1.27303	-1.28767
-948	452	15944	569	279	88	1.62099	3.40133
-988	-1124	15896	352	-117	-184	-4.03687	3.54775
368	-1516	16256	-49	-778	-235	-5.32652	-1.29123
1704	776	16752	-306	-522	342	2.63861	-5.80192
492	-1328	14868	-43	711	-513	-5.1013	-1.88778
464	-16	14896	-439	-522	-467	-0.0615123	-1.78415
1168	452	15516	5	-468	612	1.66392	-4.30312
-976	-1480	15116	25	-587	-245	-5.58043	3.67678
1576	-868	16832	365	-777	-433	-2.93921	-5.34202
312	1860	17360	589	1242	916	6.11452	-1.02377
-1848	-536	13524	73	315	-555	-2.24875	7.77502
-796	256	15852	-491	-499	-470	0.924047	2.87429
-1272	444	16180	248	-220	257	1.56704	4.49341
1140	-1184	17716	42	-482	101	-3.81565	-3.67365
340	80	14200	327	770	-232	0.322697	-1.37159
580	228	15548	39	-456	-525	0.839556	-2.13613
-40	-576	17548	464	306	85	-1.88001	0.130533
-516	-344	16136	299	-680	110	-1.22067	1.83118
836	1532	15900	62	-1	31	5.49604	-2.99591
-1120	-2112	12724	-104	-126	-32	-9.3887	4.96281
1220	-116	16932	-141	-209	-684	-0.391508	-4.12111
1476	-44	17124	-97	-1277	119	-0.146677	-4.92641
520	-440	19280	581	1346	-501	-1.30688	-1.54455
-1408	-1000	13080	-112	-131	-476	-4.34689	6.12622
-476	2376	15936	-166	-15	-783	8.4764	1.69219
-772	-1568	17104	-325	-254	-115	-5.23262	2.57355
1624	-1020	18608	68	374	-956	-3.12568	-4.98037
708	-380	15336	-699	654	-967	-1.41789	-2.64242
-828	756	16184	688	295	-122	2.67101	2.92561
-996	-192	17384	-444	-543	79	-0.631749	3.27892
1520	-756	16800	16	-592	214	-2.5661	-5.16463
-916	-312	14016	258	303	237	-1.2725	3.73826
1436	212	15764	105	-934	-44	0.767311	-5.20445
680	-2164	17384	675	556	-75	-7.09044	-2.22292
592	-584	17852	-258	-1109	-214	-1.87264	-1.89831
-828	1564	15564	-589	805	-247	5.73024	3.03002
-1184	-84	12944	113	121	305	-0.37027	5.22625
640	1084	15456	-149	-234	-834	4.00842	-2.36534
3140	-1836	19660	-138	-978	-561	-5.26885	-9.0357
-1216	424	14996	529	1687	421	1.61427	4.63403
-388	480	15244	-360	-945	-357	1.80294	1.45729
-852	1192	14332	124	-135	714	4.74604	3.3904
1320	-188	19052	143	-1168	-93	-0.564009	-3.96316
884	-968	16088	159	869	-208	-3.43811	-3.13945
680	1348	15576	354	193	23	4.94156	-2.49047
-2008	176	13800	-175	19	-344	0.723075	8.27819
1304	-160	17840	-607	-1528	-158	-0.512483	-4.18039
-352	-1292	15740	783	1368	132	-4.69137	1.27682
188	1156	13852	-433	-183	-62	4.77005	-0.77488
316	-1008	14632	-212	-35	-998	-3.93997	-1.23427
480	296	18724	470	-548	235	0.905393	-1.4683
-76	52	17284	-569	197	97	0.172376	0.251934
-1284	396	11992	382	953	449	1.88059	6.10815
96	-1200	14608	47	-831	-1118	-4.69602	-0.375264
