-4.9147e-09	0.00083619	5.3502e-07	-3.6339e-08	0.0065015	1.8198e-06	1.8232	1.8232	0.00011912	0.0001189	0.084268	0.084269	0.00011896	0.00011905	-0.01106	-0.011059	1.585e-07	-1.585e-07
-5.7429e-09	0.00098058	5.7121e-07	-4.1409e-08	0.0072191	1.8094e-06	1.8255	1.8255	0.00012163	0.00012139	0.087895	0.087895	0.00012146	0.00012156	-0.012386	-0.012385	1.7015e-07	-1.7015e-07
-6.682e-09	0.0011399	6.0708e-07	-4.6954e-08	0.0079678	1.7938e-06	1.8277	1.8277	0.00012407	0.00012381	0.091517	0.091517	0.00012388	0.00012399	-0.013787	-0.013786	1.8209e-07	-1.8209e-07
-7.7416e-09	0.0013149	6.4256e-07	-5.2982e-08	0.0087465	1.7736e-06	1.8299	1.8299	0.00012642	0.00012614	0.095133	0.095133	0.00012622	0.00012634	-0.015262	-0.015261	1.9431e-07	-1.9431e-07
-8.9316e-09	0.0015059	6.7754e-07	-5.9497e-08	0.0095538	1.7493e-06	1.8319	1.8319	0.0001287	0.00012841	0.098744	0.098744	0.00012849	0.00012862	-0.016811	-0.01681	2.0683e-07	-2.0683e-07
-1.0262e-08	0.0017137	7.1197e-07	-6.6502e-08	0.010389	1.7213e-06	1.8339	1.8339	0.00013091	0.0001306	0.10235	0.10235	0.00013069	0.00013082	-0.018433	-0.018432	2.1962e-07	-2.1962e-07
-1.1741e-08	0.0019387	7.4577e-07	-7.3994e-08	0.011249	1.6903e-06	1.8358	1.8358	0.00013306	0.00013274	0.10595	0.10595	0.00013283	0.00013297	-0.020128	-0.020127	2.3269e-07	-2.3269e-07
-1.3381e-08	0.0021814	7.789e-07	-8.197e-08	0.012135	1.6565e-06	1.8376	1.8376	0.00013515	0.00013481	0.10954	0.10954	0.0001349	0.00013505	-0.021894	-0.021894	2.4602e-07	-2.4602e-07
-1.5189e-08	0.0024423	8.1131e-07	-9.0424e-08	0.013045	1.6203e-06	1.8394	1.8394	0.00013718	0.00013682	0.11312	0.11312	0.00013692	0.00013708	-0.023732	-0.023731	2.5961e-07	-2.5961e-07
-1.7176e-08	0.0027219	8.4295e-07	-9.9346e-08	0.013977	1.582e-06	1.8411	1.8411	0.00013916	0.00013878	0.1167	0.1167	0.00013888	0.00013905	-0.025639	-0.025638	2.7345e-07	-2.7345e-07
-1.9351e-08	0.0030205	8.7379e-07	-1.0872e-07	0.014931	1.542e-06	1.8427	1.8427	0.00014108	0.00014068	0.12027	0.12027	0.00014079	0.00014097	-0.027615	-0.027615	2.8752e-07	-2.8752e-07
-2.1722e-08	0.0033385	9.038e-07	-1.1854e-07	0.015904	1.5005e-06	1.8442	1.8442	0.00014296	0.00014254	0.12383	0.12383	0.00014265	0.00014284	-0.02966	-0.029659	3.0182e-07	-3.0182e-07
-2.4298e-08	0.0036765	9.3295e-07	-1.2879e-07	0.016896	1.4577e-06	1.8456	1.8456	0.00014478	0.00014435	0.12738	0.12738	0.00014447	0.00014466	-0.031772	-0.031771	3.1633e-07	-3.1633e-07
-2.7087e-08	0.0040346	9.6123e-07	-1.3945e-07	0.017906	1.4139e-06	1.847	1.847	0.00014657	0.00014611	0.13092	0.13092	0.00014624	0.00014644	-0.033949	-0.033949	3.3103e-07	-3.3103e-07
-3.0097e-08	0.0044133	9.8861e-07	-1.505e-07	0.018933	1.3692e-06	1.8483	1.8483	0.00014831	0.00014783	0.13445	0.13445	0.00014796	0.00014818	-0.036192	-0.036192	3.4593e-07	-3.4593e-07
-3.3335e-08	0.0048128	1.0151e-06	-1.6192e-07	0.019975	1.3237e-06	1.8495	1.8495	0.00015001	0.00014951	0.13798	0.13798	0.00014965	0.00014987	-0.038499	-0.038499	3.6099e-07	-3.6099e-07
-3.6809e-08	0.0052334	1.0406e-06	-1.7369e-07	0.02103	1.2777e-06	1.8506	1.8506	0.00015167	0.00015115	0.14149	0.14149	0.00015129	0.00015153	-0.040869	-0.040868	3.762e-07	-3.762e-07
-4.0525e-08	0.0056753	1.0653e-06	-1.8579e-07	0.022099	1.2313e-06	1.8517	1.8517	0.00015329	0.00015276	0.14499	0.14499	0.0001529	0.00015315	-0.043301	-0.0433	3.9155e-07	-3.9155e-07
-4.4489e-08	0.0061389	1.089e-06	-1.9819e-07	0.02318	1.1845e-06	1.8527	1.8527	0.00015488	0.00015432	0.14848	0.14848	0.00015447	0.00015473	-0.045793	-0.045792	4.0702e-07	-4.0702e-07
-4.8706e-08	0.0066244	1.1117e-06	-2.1088e-07	0.024271	1.1375e-06	1.8536	1.8536	0.00015643	0.00015586	0.15196	0.15196	0.00015601	0.00015628	-0.048344	-0.048344	4.226e-07	-4.226e-07
-5.3182e-08	0.0071318	1.1335e-06	-2.2381e-07	0.025372	1.0903e-06	1.8545	1.8545	0.00015795	0.00015736	0.15543	0.15543	0.00015752	0.0001578	-0.050954	-0.050953	4.3826e-07	-4.3826e-07
-5.7922e-08	0.0076614	1.1544e-06	-2.3698e-07	0.026481	1.0431e-06	1.8553	1.8553	0.00015944	0.00015883	0.15888	0.15888	0.00015899	0.00015928	-0.053621	-0.05362	4.5398e-07	-4.5398e-07
-6.2929e-08	0.0082134	1.1743e-06	-2.5035e-07	0.027598	9.9595e-07	1.856	1.856	0.0001609	0.00016027	0.16232	0.16232	0.00016043	0.00016074	-0.056343	-0.056343	4.6976e-07	-4.6976e-07
-6.8207e-08	0.0087878	1.1933e-06	-2.6391e-07	0.028722	9.4883e-07	1.8566	1.8566	0.00016233	0.00016168	0.16575	0.16575	0.00016185	0.00016216	-0.05912	-0.05912	4.8557e-07	-4.8557e-07
-7.376e-08	0.0093848	1.2113e-06	-2.7762e-07	0.02985	9.0184e-07	1.8572	1.8572	0.00016373	0.00016306	0.16916	0.16916	0.00016323	0.00016356	-0.061951	-0.06195	5.0139e-07	-5.0139e-07
-7.9589e-08	0.010005	1.2284e-06	-2.9146e-07	0.030984	8.5503e-07	1.8577	1.8577	0.00016511	0.00016441	0.17256	0.17256	0.00016459	0.00016493	-0.064833	-0.064833	5.1722e-07	-5.1722e-07
-8.5697e-08	0.010647	1.2446e-06	-3.0541e-07	0.03212	8.0844e-07	1.8582	1.8582	0.00016646	0.00016574	0.17594	0.17594	0.00016592	0.00016627	-0.067766	-0.067766	5.3302e-07	-5.3302e-07
