0.0012541,0.049996,0,0,0.0049829,0.098989,0,0,0.011137,0.147,0,0,0.019667,0.19405,0,0,0.030526,0.24015,0,0,0.043666,0.28533,0,0,0.059044,0.3296,0,0,0.076612,0.37299,0,0,0.096328,0.4155,0,0,0.11815,0.45717,0,0,0.14203,0.49799,0,0,0.16793,0.538,0,0
-0.0012541,-0.049996,0,0,-0.0049829,-0.098989,0,0,-0.011137,-0.147,0,0,-0.019667,-0.19405,0,0,-0.030526,-0.24015,0,0,-0.043666,-0.28533,0,0,-0.059044,-0.3296,0,0,-0.076612,-0.37299,0,0,-0.096328,-0.4155,0,0,-0.11815,-0.45717,0,0,-0.14203,-0.49799,0,0,-0.16793,-0.538,0,0
0,0,0.023263,2.3237,0,0,0.092846,4.632,0,0,0.20844,6.9249,0,0,0.36974,9.2025,0,0,0.57644,11.465,0,0,0.82824,13.712,0,0,1.1248,15.945,0,0,1.4659,18.163,0,0,1.8512,20.365,0,0,2.2805,22.554,0,0,2.7533,24.727,0,0,3.2694,26.886
0,0,0,0,0.0012541,0.049996,0,0,0.0049829,0.098989,0,0,0.011137,0.147,0,0,0.019667,0.19405,0,0,0.030526,0.24015,0,0,0.043666,0.28533,0,0,0.059044,0.3296,0,0,0.076612,0.37299,0,0,0.096328,0.4155,0,0,0.11815,0.45717,0,0,0.14203,0.49799,0,0
0,0,0,0,-0.0012541,-0.049996,0,0,-0.0049829,-0.098989,0,0,-0.011137,-0.147,0,0,-0.019667,-0.19405,0,0,-0.030526,-0.24015,0,0,-0.043666,-0.28533,0,0,-0.059044,-0.3296,0,0,-0.076612,-0.37299,0,0,-0.096328,-0.4155,0,0,-0.11815,-0.45717,0,0,-0.14203,-0.49799,0,0
0,0,0,0,0,0,0.023263,2.3237,0,0,0.092846,4.632,0,0,0.20844,6.9249,0,0,0.36974,9.2025,0,0,0.57644,11.465,0,0,0.82824,13.712,0,0,1.1248,15.945,0,0,1.4659,18.163,0,0,1.8512,20.365,0,0,2.2805,22.554,0,0,2.7533,24.727
0,0,0,0,0,0,0,0,0.0012541,0.049996,0,0,0.0049829,0.098989,0,0,0.011137,0.147,0,0,0.019667,0.19405,0,0,0.030526,0.24015,0,0,0.043666,0.28533,0,0,0.059044,0.3296,0,0,0.076612,0.37299,0,0,0.096328,0.4155,0,0,0.11815,0.45717,0,0
0,0,0,0,0,0,0,0,-0.0012541,-0.049996,0,0,-0.0049829,-0.098989,0,0,-0.011137,-0.147,0,0,-0.019667,-0.19405,0,0,-0.030526,-0.24015,0,0,-0.043666,-0.28533,0,0,-0.059044,-0.3296,0,0,-0.076612,-0.37299,0,0,-0.096328,-0.4155,0,0,-0.11815,-0.45717,0,0
0,0,0,0,0,0,0,0,0,0,0.023263,2.3237,0,0,0.092846,4.632,0,0,0.20844,6.9249,0,0,0.36974,9.2025,0,0,0.57644,11.465,0,0,0.82824,13.712,0,0,1.1248,15.945,0,0,1.4659,18.163,0,0,1.8512,20.365,0,0,2.2805,22.554
0,0,0,0,0,0,0,0,0,0,0,0,0.0012541,0.049996,0,0,0.0049829,0.098989,0,0,0.011137,0.147,0,0,0.019667,0.19405,0,0,0.030526,0.24015,0,0,0.043666,0.28533,0,0,0.059044,0.3296,0,0,0.076612,0.37299,0,0,0.096328,0.4155,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-0.0012541,-0.049996,0,0,-0.0049829,-0.098989,0,0,-0.011137,-0.147,0,0,-0.019667,-0.19405,0,0,-0.030526,-0.24015,0,0,-0.043666,-0.28533,0,0,-0.059044,-0.3296,0,0,-0.076612,-0.37299,0,0,-0.096328,-0.4155,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023263,2.3237,0,0,0.092846,4.632,0,0,0.20844,6.9249,0,0,0.36974,9.2025,0,0,0.57644,11.465,0,0,0.82824,13.712,0,0,1.1248,15.945,0,0,1.4659,18.163,0,0,1.8512,20.365
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012541,0.049996,0,0,0.0049829,0.098989,0,0,0.011137,0.147,0,0,0.019667,0.19405,0,0,0.030526,0.24015,0,0,0.043666,0.28533,0,0,0.059044,0.3296,0,0,0.076612,0.37299,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0012541,-0.049996,0,0,-0.0049829,-0.098989,0,0,-0.011137,-0.147,0,0,-0.019667,-0.19405,0,0,-0.030526,-0.24015,0,0,-0.043666,-0.28533,0,0,-0.059044,-0.3296,0,0,-0.076612,-0.37299,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023263,2.3237,0,0,0.092846,4.632,0,0,0.20844,6.9249,0,0,0.36974,9.2025,0,0,0.57644,11.465,0,0,0.82824,13.712,0,0,1.1248,15.945,0,0,1.4659,18.163
