0.013639,-0.012768,-4.0803e-07,-8.3439e-05,-1.2764e-17,6.5999e-17
-0.038397,0.10976,4.5066e-07,4.8514e-05,5.0707e-17,-3.1396e-16
-6.3571e-06,-2.2919e-06,0.95449,0.026048,1.0806e-15,-1.5246e-16
-0.00060011,-0.00027178,0.0034102,1.595,-2.5481e-17,-9.2877e-16
-2.6491e-16,2.4957e-16,-2.8185e-18,-5.3474e-17,0.95445,0.01835
1.0676e-16,3.5049e-17,5.3646e-17,-7.6973e-17,6.9574e-05,0.912
0.011911,-0.01567,0.014962,3.1146,-3.3093e-14,-9.3801e-15
-0.025195,0.052965,-0.017797,-3.461,9.8795e-14,4.3222e-14
-0.015596,0.020519,-0.019591,-4.0784,-2.3945e-14,-4.9647e-15
0.032991,-0.069354,0.023304,4.5319,7.6998e-14,2.4751e-14
